Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Цена запаса
"Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",29.12.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027462,Труба 8х1 12Х18Н10Т ГОСТ 9941,Погон.метр,0.200,62 007.93
"Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",07.11.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027462,Труба 8х1 12Х18Н10Т ГОСТ 9941,Погон.метр,78.790,66 790.38
"Уфа, улица Ульяновых, Республика Башкортостан, Россия",02.06.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9012437,Труба б/ш х/д к/ст 8х1 08Х18Н10Т,Погон.метр,24.000,46 026.42
"Уфа, улица Ульяновых, Республика Башкортостан, Россия",14.08.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.041,170 529.23
"Уфа, улица Ульяновых, Республика Башкортостан, Россия",09.03.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.002,167 245.13
"Уфа, улица Ульяновых, Республика Башкортостан, Россия",28.06.2024,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,9027630,Труба 8х2.5 20 ГОСТ 8734,Погон.метр,100.000,47 928.62
"Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",25.09.2019,20,Подшипники,20-980400,Втулки к подшипникам,2312640,Втулка В22 УХЛ1,Штука,30.000,1 771.88
"Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",25.09.2020,20,Подшипники,20-980400,Втулки к подшипникам,2312640,Втулка В22 УХЛ1,Штука,300.000,2 452.26
"Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",22.08.2023,20,Подшипники,20-980400,Втулки к подшипникам,2372848,Втулка H.313 SNR,Штука,4.000,2 370.46
"Уфа, улица Зелёная Роща, Республика Башкортостан, Россия",22.06.2024,20,Подшипники,20-980400,Втулки к подшипникам,10016126,Втулка закрепительная H313 TIMKEN,Штука,4.000,2 690.02
"Уфа, Чекмагушевская улица 2, Республика Башкортостан, Россия",17.12.2018,20,Подшипники,20-980400,Втулки к подшипникам,2593026,Втулка подшипника H 2315 Timken,Штука,4.000,2 309.56
"Уфа, Чекмагушевская улица 2, Республика Башкортостан, Россия",12.07.2020,20,Подшипники,20-980400,Втулки к подшипникам,9012503,Втулка закр. NTN Н 2309 Х,Штука,2.000,2 637.64
"Уфа, Чекмагушевская улица 2, Республика Башкортостан, Россия",14.02.2016,20,Подшипники,20-980400,Втулки к подшипникам,9012504,Втулка закр. NTN Н 2315 Х,Штука,2.000,2 451.43
"Уфа, улица Ульяновых, Республика Башкортостан, Россия",19.03.2018,11,Продукция кабельная,11-050800,Провода и кабели установочные,1119879,"Кабель ТПВБбГ 7х8х1,6",м,2 000.000,7 902.67